economic_sector,industry,temp_score_v1,temp_score_v2,bespoke_factset_sector,bespoke_economic_sector,,
Commercial Services,Advertising/Marketing Services,Other,Buildings,Commercial Services,Commercial Services,,
Commercial Services,Financial Publishing/Services,Other,Buildings,Commercial Services,Commercial Services,,
Commercial Services,Commercial Printing/Forms,Other,Buildings,Commercial Services,Commercial Services,,
Commercial Services,Personnel Services,Other,Buildings,Commercial Services,Commercial Services,,
Commercial Services,Miscellaneous Commercial Services,Other,Buildings,Commercial Services,Commercial Services,,
Communications,Specialty Telecommunications,Other,Buildings,Communications,Commercial Services,,
Communications,Wireless Telecommunications,Other,Buildings,Communications,Commercial Services,,
Communications,Major Telecommunications,Other,Buildings,Communications,Commercial Services,,
Consumer Durables,Tools & Hardware,Industry,Industry,Other Consumer Specialties,Consumer Goods,,
Consumer Durables,Recreational Products,Industry,Industry,Other Consumer Specialties,Consumer Goods,,
Consumer Durables,Homebuilding,Industry,Industry,Building Products,Consumer Goods,,
Consumer Durables,Other Consumer Specialties,Industry,Industry,Other Consumer Specialties,Consumer Goods,,
Consumer Durables,Home Furnishings,Industry,Industry,Household,Consumer Goods,,
Consumer Durables,Automotive Aftermarket,Industry,Industry,Motor Vehicles,Consumer Goods,,
Consumer Durables,Motor Vehicles,Industry,Industry,Motor Vehicles,Consumer Goods,,
Consumer Durables,Electronics/Appliances,Industry,Industry,Household,Consumer Goods,,
Consumer Non-Durables,Beverages: Non-Alcoholic,Industry,Industry,Beverages,Consumer Goods,,
Consumer Non-Durables,Beverages: Alcoholic,Industry,Industry,Beverages,Consumer Goods,,
Consumer Non-Durables,Food: Specialty/Candy,Industry,Industry,Food,Consumer Goods,,
Consumer Non-Durables,Consumer Sundries,Industry,Industry,Other Consumer Specialties,Consumer Goods,,
Consumer Non-Durables,Household/Personal Care,Industry,Industry,Household,Consumer Goods,,
Consumer Non-Durables,Food: Meat/Fish/Dairy,Industry,Industry,Food,Consumer Goods,,
Consumer Non-Durables,Food: Major Diversified,Industry,Industry,Food,Consumer Goods,,
Consumer Non-Durables,Tobacco,Industry,Industry,Food,Consumer Goods,,
Consumer Non-Durables,Apparel/Footwear,Industry,Industry,Apparel/Footwear,Consumer Goods,,
Consumer Services,Media Conglomerates,Other,Buildings,Media,Consumer Services,,
Consumer Services,Casinos/Gaming,Other,Buildings,Entertainment,Consumer Services,,
Consumer Services,Publishing: Books/Magazines,Other,Buildings,Media,Consumer Services,,
Consumer Services,Movies/Entertainment,Other,Buildings,Entertainment,Consumer Services,,
Consumer Services,Publishing: Newspapers,Other,Buildings,Media,Consumer Services,,
Consumer Services,Broadcasting,Other,Buildings,Media,Consumer Services,,
Consumer Services,Other Consumer Services,Other,Buildings,Entertainment,Consumer Services,,
Consumer Services,Restaurants,Other,Buildings,Entertainment,Consumer Services,,
Consumer Services,Hotels/Resorts/Cruise lines,Other,Buildings,Entertainment,Consumer Services,,
Consumer Services,Cable/Satellite TV,Other,Buildings,Media,Consumer Services,,
Distribution Services,Electronics Distributors,Other,Buildings,Distributors,Retail Trade,,
Distribution Services,Wholesale Distributors,Other,Buildings,Distributors,Retail Trade,,
Distribution Services,Medical Distributors,Other,Buildings,Distributors,Retail Trade,,
Distribution Services,Food Distributors,Other,Buildings,Distributors,Retail Trade,,
Electronic Technology,Semiconductors,Industry,Industry,Semiconductors,Electronic Technology,,
Electronic Technology,Computer Peripherals,Industry,Industry,Computers,Electronic Technology,,
Electronic Technology,Electronic Components,Industry,Industry,Electronic Equipment,Electronic Technology,,
Electronic Technology,Electronic Equipment/Instruments,Industry,Industry,Electronic Equipment,Electronic Technology,,
Electronic Technology,Electronic Production Equipment,Industry,Industry,Electronic Equipment,Electronic Technology,,
Electronic Technology,Computer Communications,Industry,Industry,Telecommunications Equipment,Electronic Technology,,
Electronic Technology,Telecommunications Equipment,Industry,Industry,Telecommunications Equipment,Electronic Technology,,
Electronic Technology,Computer Processing Hardware,Industry,Industry,Computers,Electronic Technology,,
Electronic Technology,Aerospace & Defense,Industry,Industry,Aerospace & Defense,Electronic Technology,,
Energy Minerals,Integrated Oil,Other,Energy ,Integrated Oil,Energy Minerals,,
Energy Minerals,Oil Refining/Marketing,Other,Energy ,Oil & Gas & Coal Production,Energy Minerals,,
Energy Minerals,Oil & Gas Production,Other,Energy ,Oil & Gas & Coal Production,Energy Minerals,,
Energy Minerals,Coal,Other,Energy ,Oil & Gas & Coal Production,Energy Minerals,,
Finance,Savings Banks,Other,Buildings,Regional Banks,Finance,,
Finance,Property/Casualty Insurance,Other,Buildings,Insurance,Finance,,
Finance,Specialty Insurance,Other,Buildings,Insurance,Finance,,
Finance,Life/Health Insurance,Other,Buildings,Insurance,Finance,,
Finance,Insurance Brokers/Services,Other,Buildings,Insurance,Finance,,
Finance,Investment Managers,Other,Buildings,Investment Managers,Finance,,
Finance,Finance/Rental/Leasing,Other,Buildings,Finance/Rental/Leasing,Finance,,
Finance,Real Estate Investment Trusts,Other,Buildings,Real Estate Investment Trusts,Finance,,
Finance,Real Estate Development,Other,Buildings,Real Estate Development,Finance,,
Finance,Major Banks,Other,Buildings,Major Banks,Finance,,
Finance,Multi-Line Insurance,Other,Buildings,Insurance,Finance,,
Finance,Financial Conglomerates,Other,Buildings,Major Banks,Finance,,
Finance,Regional Banks,Other,Buildings,Regional Banks,Finance,,
Finance,Investment Banks/Brokers,Other,Buildings,Investment Banks/Brokers,Finance,,
Government,Supranational,Other,Buildings,Regional Banks,Finance,,
Government,General Government,Other,Buildings,Regional Banks,Finance,,
Government,Sovereign,Other,Buildings,Regional Banks,Finance,,
Health Services,Medical/Nursing Services,Other,Buildings,Services to the Health Industry,Consumer Services,,
Health Services,Hospital/Nursing Management,Other,Buildings,Services to the Health Industry,Consumer Services,,
Health Services,Services to the Health Industry,Other,Buildings,Services to the Health Industry,Consumer Services,,
Health Services,Managed Health Care,Other,Buildings,Services to the Health Industry,Consumer Services,,
Health Technology,Pharmaceuticals: Generic,Industry,Industry,Pharmaceuticals/Biotechnology,Health Technology,,
Health Technology,Pharmaceuticals: Other,Industry,Industry,Pharmaceuticals/Biotechnology,Health Technology,,
Health Technology,Biotechnology,Industry,Industry,Pharmaceuticals/Biotechnology,Health Technology,,
Health Technology,Medical Specialties,Industry,Industry,Medical Specialties,Health Technology,,
Health Technology,Pharmaceuticals: Major,Industry,Industry,Pharmaceuticals: Major,Health Technology,,
Industrial Services,Engineering & Construction,Industry,Industry,Engineering & Construction,Industrial Services,,
Industrial Services,Contract Drilling,Industry,Energy,Industrial Services,Industrial Services,,
Industrial Services,Oilfield Services/Equipment,Other,Energy,Engineering & Construction,Industrial Services,,
Industrial Services,Environmental Services,Other,Energy,Industrial Services,Industrial Services,,
Industrial Services,Oil & Gas Pipelines,Other,Energy,Industrial Services,Industrial Services,,
Miscellaneous,Investment Trusts/Mutual Funds,Other,Buildings,Investment Banks/Brokers,Finance,,
Miscellaneous,Miscellaneous,Other,Buildings,Investment Banks/Brokers,Finance,,
Non-Energy Minerals,Aluminum,Industry,Aluminum,Aluminum and steel,Non-Energy Minerals,,
Non-Energy Minerals,Construction Materials,Industry,Industry,Construction Materials,Non-Energy Minerals,,
Non-Energy Minerals,Precious Metals,Industry,Industry,Precious Metals,Non-Energy Minerals,,
Non-Energy Minerals,Steel,Industry,Steel,Aluminum and steel,Non-Energy Minerals,,
Non-Energy Minerals,Forest Products,Industry,Industry,Agricultural Commodities,Process Industries,,
Non-Energy Minerals,Other Metals/Minerals,Other,Industry,Other Metals/Minerals,Non-Energy Minerals,,
Process Industries,Agricultural Commodities/Milling,Industry,Industry,Agricultural Commodities,Process Industries,,
Process Industries,Chemicals: Specialty,Industry,Chemicals,Chemicals,Process Industries,,
Process Industries,Chemicals: Major Diversified,Industry,Chemicals,Chemicals,Process Industries,,
Process Industries,Textiles,Industry,Industry,Industrial Specialties,Process Industries,,
Process Industries,Industrial Specialties,Industry,Industry,Industrial Specialties,Process Industries,,
Process Industries,Pulp & Paper,Industry,Pulp & Paper,Industrial Specialties,Process Industries,,
Process Industries,Chemicals: Agricultural,Industry,Chemicals,Chemicals,Process Industries,,
Process Industries,Containers/Packaging,Industry,Industry,Containers/Packaging,Process Industries,,
Producer Manufacturing,Industrial Conglomerates,Industry,Industry,Producer Manufacturing,Producer Manufacturing,,
Producer Manufacturing,Office Equipment/Supplies,Industry,Industry,Commercial Services,Producer Manufacturing,,
Producer Manufacturing,Industrial Machinery,Industry,Industry,Industrial Machinery,Producer Manufacturing,,
Producer Manufacturing,Miscellaneous Manufacturing,Industry,Industry,Producer Manufacturing,Producer Manufacturing,,
Producer Manufacturing,Metal Fabrication,Industry,Industry,Industrial Machinery,Producer Manufacturing,,
Producer Manufacturing,Trucks/Construction/Farm Machinery,Industry,Industry,Trucks/Construction/Farm Machinery,Producer Manufacturing,,
Producer Manufacturing,Auto Parts: OEM,Industry,Industry,Auto Parts: OEM,Producer Manufacturing,,
